"Variete";"Rendement";"Huile";"Proteine";"Amidon";"Floraison";"Feuilles"
"Dent";394.2492532;3.73031667;14.44674449;67.22464871;1371.34;21.9
"Flint";318.303846;3.871715783;13.72628177;70.31653933;895.75;14.40084458
"Tropical";351.803846;2.571715783;12.95128177;68.14153933;1058.45;16.3239215
"Tropical";312.3787598;2.376156429;13.30523625;71.6791233;1021.82;17.43930612
"Tropical";315.8652116;3.395744424;13.81303604;66.89132527;1125.05;20.28523623
"Tropical";306.8787598;3.951156429;13.05523625;67.9291233;1073.08;16.24699842
"Flint";252.3652116;2.795744424;17.86303604;62.69132527;931.1;16.90868882
"Flint";301.1287598;3.901156429;14.65523625;65.0041233;989;13.83930612
"Tropical";283.2821804;3.062597746;19.42454662;62.84448812;1045.91;20.09684666
"Tropical";323.392308;3.906568434;14.39743646;67.26692134;1174.1;19.42868882
"Tropical";324.3652116;3.845744424;12.66303604;69.84132527;933.08;14.28545996
"Flint";314.553846;4.871715783;11.20128177;71.96653933;965.54;14.36238304
"Tropical";344.2492532;4.63031667;11.74674449;70.22464871;1217.09;21.34419436
"Flint";320.3787598;4.826156429;13.38023625;64.8041233;991.39;17.12007535
"Flint";338.6287598;3.426156429;13.30523625;70.1291233;963.89;15.17752769
"Tropical";333.2492532;2.93031667;15.24674449;66.42464871;1324.95;22.54714388
"Flint";306.303846;4.471715783;11.05128177;68.94153933;945.41;14.11238304
"Flint";319.553846;3.746715783;11.10128177;72.09153933;922.61;14.20853689
"Flint";303.303846;3.696715783;13.92628177;66.41653933;893.38;13.49699842
"Flint";314.6287598;3.376156429;13.08023625;67.4041233;973.11;14.59315227
"Flint";336.8787598;2.351156429;12.43023625;70.4041233;947.2;16.55469073
"Flint";353.3787598;2.701156429;13.20523625;69.1291233;1023.55;17.55469073
"Dent";341.3787598;3.926156429;10.65523625;72.0541233;1016.43;17.74699842
"Dent";338.6155137;3.629264412;13.35787995;69.57782146;1007.7;17.86238304
"Flint";376.6287598;3.101156429;13.10523625;67.6291233;1070.94;19.55469073
"Flint";364.803846;2.271715783;10.50128177;74.34153933;982.75;15.43930612
